Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
0,CALL V,146.520000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
1,CALL U,446.000000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
9,WB7VYA,146.920,-,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
10,WA7AVM,147.2200,+,0.600000,Tone,127.3,88.5,023,NN,FM,5.00,,,,,,
11,KC7SAR,145.110000,-,0.600000,Tone,127.3,88.5,023,NN,FM,5.00,,,,,,
12,KC7SAR,145.110000,-,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
13,N3KPU,145.230000,-,0.600000,Tone,146.2,88.5,023,NN,FM,5.00,,,,,,
14,KC7IYE,145.310000,-,0.600000,Tone,103.5,88.5,023,NN,FM,5.00,,,,,,
15,KC7IYE,441.100000,+,5.000000,Tone,156.7,88.5,023,NN,FM,5.00,,,,,,
16,K7NWS,145.330000,-,0.600000,Tone,179.9,88.5,023,NN,FM,5.00,,,,,,
17,W7AAO,145.370000,-,0.600000,Tone,136.5,88.5,023,NN,FM,5.00,,,,,,
18,K7LWH V,145.490000,-,0.600000,Tone,103.5,88.5,023,NN,FM,5.00,,,,,,
19,K7LWH U,441.075000,+,5.000000,Tone,103.5,88.5,023,NN,FM,5.00,,,,,,
20,K7TGU,146.425000,+,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
21,WA7ST,146.660000,-,0.600000,Tone,103.5,88.5,023,NN,FM,5.00,,,,,,
22,WA7FW,146.760000,-,0.600000,Tone,103.5,88.5,023,NN,FM,5.00,,,,,,
23,K7LED,146.820000,-,0.600000,Tone,103.5,88.5,023,NN,FM,5.00,,,,,,
25,W7SRZ,146.900000,-,0.600000,Tone,103.5,88.5,023,NN,FM,5.00,,,,,,
26,KD7VMK,146.920000,-,0.600000,Tone,103.5,88.5,023,NN,FM,5.00,,,,,,
27,WW7PSR,146.960000,-,0.600000,Tone,103.5,88.5,023,NN,FM,5.00,,,,,,
28,K7MMI,147.200000,+,0.600000,Tone,131.8,88.5,023,NN,FM,5.00,,,,,,
29,K7MMI,146.980000,-,0.600000,Tone,131.8,88.5,023,NN,FM,5.00,,,,,,
30,W7DX,147.000000,-,0.600000,Tone,103.5,88.5,023,NN,FM,5.00,,,,,,
31,WA7FW,147.040000,+,0.600000,Tone,103.5,88.5,023,NN,FM,5.00,,,,,,
32,W7WWI,147.080000,+,0.600000,Tone,110.9,88.5,023,NN,FM,5.00,,,,,,
33,KC7RAS,147.100000,+,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
34,WA7LAW,147.780000,-,0.600000,Tone,103.5,88.5,023,NN,FM,5.00,,,,,,
35,WA7DEM,146.920000,-,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
36,K6RFK,147.340000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
38,K7SLB,147.475000,-,1.000000,Tone,110.9,88.5,023,NN,FM,5.00,,,,,,
39,K7SLB,443.125000,+,5.000000,Tone,156.7,88.5,023,NN,FM,5.00,,,,,,
40,W7TWA,441.625000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
50,SEA 09,156.450000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
51,SEA 16,156.800000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
52,SEA 17,156.850000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
53,SEA 68,156.425000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
54,SEA 69,156.475000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
55,SEA 71,156.575000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
127,,470.625000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,





